symbol,industry,sector,volume,pe_ratio,pb_ratio,dividend_yield,pe_comp,pb_comp,div_comp,value_metric,buy_to_sell_ratio
PRT,Investment Trusts/Mutual Funds,Miscellaneous,55277.000000,7.227672,1.2808,10.716643,2.075357044425923,1.951905059337914,3.572214333333333,7.599,
ALRM,Packaged Software,Technology Services,311487.000000,18.271424,2.62501,0.0,2.0250200531715534,3.4285583673966955,0,5.454,4.0
ABBV,Pharmaceuticals: Major,Health Technology,6220536.000000,83.600169,-106.7103,3.369136,0,0,1.1230453333333335,1.123,23.0
MMS,Miscellaneous Commercial Services,Commercial Services,597898.000000,9.894557,2.06262,1.891435,1.5159850006422722,1.212050692808176,0,2.728,
BG,Agricultural Commodities/Milling,Process Industries,1699923.000000,25.211895,1.50845,2.257336,0,1.6573303722364015,0,1.657,11.0
SIG,Specialty Stores,Retail Trade,492599.000000,12.402323,1.80343,1.458357,2.5374278673438835,4.1032920601298635,0,6.641,5.0
SOUN,Packaged Software,Technology Services,19378055.000000,-29.29,7.43549,0.0,0,1.210411149769551,0,1.21,8.0
NSA,Real Estate Investment Trusts,Finance,2166997.000000,61.71223,5.46592,5.315924,0,0,1.7719746666666667,1.772,1.0
PEGA,Information Technology Services,Technology Services,1819545.000000,19.794358,8.79087,0.285559,0,0,0,0,14.0
WLTH,Packaged Software,Technology Services,708944.000000,,2.67752,0.0,0,3.3613194299202247,0,3.361,4.0
REI,Integrated Oil,Energy Minerals,5669789.000000,-9.47,0.392332,0.0,0,6.372154195936095,0,6.372,
AZTA,Medical/Nursing Services,Health Services,844330.000000,-19.84,0.674907,0.0,0,3.704214062085591,0,3.704,3.0
FCTR,Investment Trusts Or Mutual Funds,Miscellaneous,724.000000,21.658775,2.291358,1.8823,0,1.0910560462398282,0,1.091,
KFFB,Savings Banks,Finance,147.000000,41.966894,0.709838,0.0,0,3.52193035594037,0,3.522,
HUM,Managed Health Care,Health Services,2931028.000000,22.743407,1.52725,1.583043,0,1.636929120969062,0,1.637,8.0
TRGP,Gas Distributors,Utilities,1046691.000000,28.421834,16.8832,1.657756,0,0,0,0,21.0
ITHA,Financial Conglomerates,Finance,46.000000,,1.37565,0.0,0,1.8173227201686475,0,1.817,
IJR,Investment Trusts Or Mutual Funds,Miscellaneous,5096296.000000,24.955055,2.050875,1.453,0,1.2189918937039068,0,1.219,
PAM,Electric Utilities,Utilities,189849.000000,11.01439,1.21601,0.0,1.3618548099350032,2.055904145525119,0,3.418,6.0
DNL,Investment Trusts Or Mutual Funds,Miscellaneous,19746.000000,26.522757,5.147478,1.3802,0,0,0,0,
UHS,Hospital/Nursing Management,Health Services,1610128.000000,7.772442,1.50659,0.445658,1.9298953919501747,1.6593764726966194,0,3.589,10.0
BLFS,Medical Specialties,Health Technology,316173.000000,-68.42,2.77487,0.0,0,1.8451314836370714,0,1.845,10.0
FINX,Investment Trusts Or Mutual Funds,Miscellaneous,23641.000000,32.813816,2.719129,0.4269,0,0,0,0,
