symbol,industry,sector,volume,pe_ratio,pb_ratio,dividend_yield,pe_comp,pb_comp,value_score,income_score,quality_score,yield_trap_flag,value_metric,buy_to_sell_ratio
M,Department Stores,Retail Trade,4708074.0,8.419829,1.05795,0.03778517,5.128370184240084,9.282102178741907,6.79,1.2595056666666666,1.2,False,4.007,5.0
MA,Finance/Rental/Leasing,Finance,4531811.0,29.105851,57.2657,0.00648214,0.0,0.0,0.0,0.0,1.0,False,0.3,39.0
MAA,Real Estate Investment Trusts,Finance,826886.0,39.173945,2.7039,0.04714352,0.0,0.0,0.0,1.5,0.9,False,0.57,3.3333333333333335
MAC,Real Estate Investment Trusts,Finance,2596838.0,-73.18,2.2804,0.03129314,0.0,1.0962988949307138,0.439,1.0431046666666666,0.7,False,0.638,2.6666666666666665
MAIN,Financial Conglomerates,Finance,439645.0,10.11356,1.67554,0.05497851,1.4831572660863237,1.4920562922997958,1.487,1.5,0.9,False,1.314,2.0
MAIR,Industrial Machinery,Producer Manufacturing,2698605.0,,,0.0,0.0,0.0,0.0,0.0,0.3,False,0.09,0.0
MAN,Personnel Services,Commercial Services,659443.0,-86.26,0.680432,0.04757185,0.0,3.674136430973264,1.47,1.5,0.4,False,1.155,4.0
MANE,Pharmaceuticals: Major,Health Technology,995865.0,,-31.1648,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
MANH,Packaged Software,Technology Services,835834.0,38.631142,39.7622,0.0,0.0,0.0,0.0,0.0,0.7,False,0.21,12.0
MAR,Hotels/Resorts/Cruise lines,Consumer Services,1001428.0,38.046199,-25.0263,0.00740966,0.0,0.0,0.0,0.0,0.8,False,0.24,4.0
MARPS,Investment Trusts/Mutual Funds,Miscellaneous,4301.0,13.695652,9.98297,0.06544246000000001,1.0952381091458807,0.0,0.657,1.5,0.4,False,0.749,0.0
MASI,Medical Specialties,Health Technology,1038187.0,-64.36,12.8899,0.0,0.0,0.0,0.0,0.0,0.5,False,0.15,0.0
MAT,Recreational Products,Consumer Durables,5641437.0,9.532238,2.03538,0.0,1.2903580460328414,2.2600202419204276,1.678,0.0,1.0,False,1.139,11.0
MATH,Air Freight/Couriers,Transportation,70249.0,5.953031,1.27517,0.0,5.422447825317892,4.438623869758542,5.029,0.0,0.4,False,2.635,0.0
MBC,Home Furnishings,Consumer Durables,1303935.0,43.444606,0.849514,0.0,0.0,5.4148607321362565,2.166,0.0,1.0,False,1.383,0.0
MBGYY,Motor Vehicles,Consumer Durables,67441.0,9.846956,0.513029,0.04718431,1.2491169860005469,8.966354728485134,4.336,1.5,0.6,False,2.648,3.0
MBI,Specialty Insurance,Finance,231523.0,-1.58,-0.128,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
MBIN,Regional Banks,Finance,165300.0,11.353158,1.2017,0.00880963,1.3212182901004283,2.08038611966381,1.625,0.0,0.7,False,1.022,0.0
MBOT,Biotechnology,Health Technology,1062798.0,-6.87,1.80984,0.0,0.0,2.613490695310083,1.045,0.0,0.5,False,0.672,0.0
MC,Investment Banks/Brokers,Finance,1185239.0,23.410986,9.00623,0.03992629,0.0,0.0,0.0,1.3308763333333335,1.2,False,0.626,3.0
MCHB,Regional Banks,Finance,411514.0,12.155265,1.1933,0.04131392,1.2340331535347029,2.0950305874465767,1.578,1.3771306666666667,0.9,False,1.334,0.0
MCHP,Semiconductors,Electronic Technology,8062760.0,-326.33,7.66365,0.01958885,0.0,1.8268057648770495,0.731,0.0,0.5,False,0.515,20.0
MCHX,Advertising/Marketing Services,Commercial Services,3063.0,-14.46,2.53301,0.0,0.0,0.0,0.0,0.0,-0.1,False,-0.03,0.0
MCK,Medical Distributors,Distribution Services,603706.0,23.448534,-77.1375,0.0038886199999999998,0.0,0.0,0.0,0.0,0.5,False,0.15,17.0
MCY,Property/Casualty Insurance,Finance,147494.0,9.961101,2.22974,0.01305107,1.5058576356167859,1.1212069568649259,1.352,0.0,0.7,False,0.886,0.0
MD,Medical/Nursing Services,Health Services,749843.0,11.605486,2.15717,0.0,1.2924921886080427,1.1589258148407404,1.239,0.0,0.7,False,0.83,2.0
MDLN,Medical Specialties,Health Technology,2837895.0,31.156729,3.3631,0.0,1.123352839766973,1.522404924028426,1.283,0.0,1.0,False,0.942,24.0
