symbol,industry,sector,volume,pe_ratio,pb_ratio,dividend_yield,current_price,low_52w,high_52w,position_52w,pe_comp,pb_comp,value_score,income_score,quality_score,momentum_score,yield_trap_flag,value_metric,buy_to_sell_ratio
KEMQ,Investment Trusts Or Mutual Funds,Miscellaneous,11317.0,26.5646,2.355856,0.007677000000000001,24.6089,19.194,28.47,0.583753773178094,0.0,1.0611854035221167,0.424,0.0,0.4,0.3,False,0.336,0.0
KEMX,Investment Trusts Or Mutual Funds,Miscellaneous,7397.0,17.768631,2.504024,0.020556,46.57,29.1,49.43,0.8593212001967536,0.0,0.0,0.0,0.0,0.6,0.5,False,0.225,0.0
KEQU,Medical Specialties,Health Technology,2263.0,10.137075,1.52945,0.0,37.716,30.78,60.891,0.23034771346019728,3.4526724918183995,3.347608617476871,3.411,0.0,0.4,0.1,False,1.65,0.0
KEY,Major Banks,Finance,5700615.0,13.429536,1.35982,0.03749428,21.87,15.14,23.345,0.8202315661182208,1.1169410469579886,1.8384786221705813,1.406,1.2498093333333333,1.2,0.5,False,1.195,11.0
KEYS,Electronic Equipment/Instruments,Electronic Technology,931695.0,63.639483,9.74026,0.0,352.4,145.505,353.52,0.9946157729009927,0.0,0.0,0.0,0.0,0.7,0.2,False,0.205,5.5
KG,Property/Casualty Insurance,Finance,11300.0,1.166513,0.573929,0.0,9.615,8.07,36.8,0.05377654020187957,5.0,4.355939497742752,4.742,0.0,0.0,-0.4,False,2.074,0.0
KHC,Food: Major Diversified,Consumer Non-Durables,14253542.0,-4.55,0.639117,0.07114273,22.48,21.035,29.19,0.17719190680564073,0.0,3.911646850263723,1.565,1.5,0.5,0.1,False,1.069,0.2
KIDS,Medical Specialties,Health Technology,387096.0,-9.25,1.13162,0.0,15.66,14.42,23.7,0.13362068965517246,0.0,4.524487018610487,1.81,0.0,0.2,-0.4,False,0.804,8.0
KKR,Investment Managers,Finance,4063834.0,44.269855,3.25911,0.00713735,103.66,82.67,153.87,0.29480337078651675,0.0,0.0,0.0,0.0,1.0,0.1,False,0.265,18.0
KLAC,Semiconductors,Electronic Technology,789367.0,48.801352,41.4193,0.00440258,1726.15,675.27,1939.36,0.8313332120339534,0.0,0.0,0.0,0.0,0.7,0.5,False,0.25,19.0
KLRA,Biotechnology,Health Technology,548065.0,,,0.0,25.12,16.0,28.2271,0.745884142601271,0.0,0.0,0.0,0.0,0.0,0.3,False,0.045,0.0
KMDA,Biotechnology,Health Technology,75878.0,23.430365,1.76014,0.02917309,8.205,6.5,9.35,0.5982456140350878,2.3759766439831393,2.687286238594657,2.501,0.0,0.6,0.3,False,1.32,0.0
KMI,Oil & Gas Pipelines,Industrial Services,10091431.0,21.945625,2.31061,0.0359668,32.535,25.6,34.726,0.7599167214551826,0.0,1.0819653684524866,0.433,1.1988933333333334,1.2,0.5,False,0.75,13.0
KMPR,Property/Casualty Insurance,Finance,943427.0,14.91983,0.747172,0.0374817,34.135,28.405,66.13,0.15188866799204764,1.005373385621686,3.3459497946925207,1.942,1.24939,0.9,0.1,False,1.301,1.0
KMT,Industrial Machinery,Producer Manufacturing,1183096.0,26.922808,2.22889,0.02079543,38.48,17.62,42.03,0.8545678000819334,0.0,1.1216345355760042,0.449,0.0,1.2,0.5,False,0.577,0.3333333333333333
KMX,Specialty Stores,Retail Trade,2329325.0,22.998866,0.927772,0.0,38.51,30.26,71.99,0.1976994967649173,1.322673909226655,5.0,2.794,0.0,1.0,0.1,False,1.522,0.6
KN,Electronic Components,Electronic Technology,731525.0,48.490884,3.4709,0.0,31.665,15.85,31.95,0.9822981366459627,0.0,1.4693595321098274,0.588,0.0,0.7,0.2,False,0.47,0.0
KNF,Construction Materials,Non-Energy Minerals,486695.0,33.678644,3.21074,0.0,93.01,58.72,103.175,0.7713418063209989,0.0,0.0,0.0,0.0,0.7,0.5,False,0.25,7.0
KNGZ,Investment Trusts Or Mutual Funds,Miscellaneous,7947.0,16.466831,2.763735,0.033939,38.94,30.8,41.43,0.7657572906867355,0.0,0.0,0.0,1.1313,0.6,0.5,False,0.395,0.0
KNSL,Multi-Line Insurance,Finance,332920.0,13.725844,3.71769,0.00243793,311.86,308.61,512.76,0.01591966691158462,1.0928289728485914,0.0,0.656,0.0,0.7,-0.4,False,0.41,1.0
KNX,Trucking,Transportation,2446859.0,306.220096,1.47416,0.0115625,64.0,38.625,67.75,0.871244635193133,0.0,3.8394746838877736,1.536,0.0,1.0,0.5,False,1.016,5.0
KO,Beverages: Non-Alcoholic,Consumer Non-Durables,12610306.0,24.741035,10.5086,0.02621532,78.575,65.3538,82.0,0.7942473357282744,0.0,0.0,0.0,0.0,1.2,0.5,False,0.375,20.0
KOD,Biotechnology,Health Technology,524384.0,-10.17,17.2503,0.0,43.91,2.8101,47.8417,0.9126901997708274,0.0,0.0,0.0,0.0,0.2,0.5,False,0.125,0.0
KOPN,Semiconductors,Electronic Technology,9505255.0,294.520548,11.864,0.0,4.3,1.23,4.63,0.9029411764705882,0.0,1.1800404585300066,0.472,0.0,1.0,0.5,False,0.537,0.0
KOS,Integrated Oil,Energy Minerals,18459326.0,-2.19,2.89572,0.0,3.2007,0.8361,3.21,0.9960823960571211,0.0,0.0,0.0,0.0,0.5,0.2,False,0.155,3.5
KRAQ,Finance/Rental/Leasing,Finance,302.0,,-5536.3128,0.0,9.91,9.78,10.01,0.5652173913043502,0.0,0.0,0.0,0.0,-0.3,0.3,False,-0.03,0.0
KRG,Real Estate Investment Trusts,Finance,1910714.0,32.769346,1.87184,0.04252088,26.335,20.86,26.82,0.9186241610738256,0.0,1.3355842379690572,0.534,1.4173626666666665,1.2,0.5,False,0.828,5.0
KRMD,Medical Specialties,Health Technology,75495.0,-71.15,11.0703,0.0,4.06,2.625,6.608,0.36028119507908607,0.0,0.0,0.0,0.0,-0.1,0.3,False,0.02,0.0
KRSP,Financial Conglomerates,Finance,125.0,173.692953,1.42119,0.0,10.3521,10.21,10.7,0.28999999999999937,0.0,1.7590892139685756,0.704,0.0,0.4,0.1,False,0.432,0.0
KRYS,Biotechnology,Health Technology,254133.0,38.900993,6.36807,0.0,266.34,122.8,298.3025,0.8178800871782451,1.4310688675736376,0.0,0.859,0.0,0.7,0.5,False,0.637,11.0
KSS,Department Stores,Retail Trade,3415462.0,6.144174,0.405613,0.11937244,14.66,6.47,25.22,0.4368000000000001,5.0,5.0,5.0,0.0,0.4,0.3,True,2.395,0.6
KTOS,Aerospace & Defense,Electronic Technology,2579458.0,465.840841,5.24906,0.0,62.06,32.85,134.0,0.288779041028176,0.0,0.0,0.0,0.0,1.0,0.1,False,0.265,19.0
KURE,Investment Trusts Or Mutual Funds,Miscellaneous,6248.0,35.28714,3.217964,0.010057,17.5303,15.0,21.875,0.3680436363636364,0.0,0.0,0.0,0.0,0.4,0.3,False,0.145,0.0
KVUE,Household/Personal Care,Consumer Non-Durables,11320369.0,22.814136,3.10245,0.04747562,17.435,14.02,25.17,0.30627802690582945,0.0,0.0,0.0,1.5,1.2,0.1,False,0.54,2.0
KWEB,Investment Trusts Or Mutual Funds,Miscellaneous,15186982.0,16.487354,1.794687,0.010307,28.76,27.62,43.365,0.07240393775801846,0.0,1.393000562215027,0.557,0.0,1.0,-0.4,False,0.441,0.0
KYN,Investment Trusts/Mutual Funds,Miscellaneous,406180.0,6.228175,1.01946,0.06884315,14.08,11.31,14.69,0.819526627218935,2.4084101683077304,2.4522786573283897,2.426,1.5,0.7,0.5,False,1.567,0.0
L,Property/Casualty Insurance,Finance,1100539.0,14.011013,1.23144,0.00223814,111.715,85.1,114.9,0.8931208053691275,1.0705864022822618,2.030143571753394,1.454,0.0,1.0,0.5,False,0.979,0.0
LAD,Specialty Stores,Retail Trade,381256.0,10.200718,1.03528,0.00756274,290.69,239.78,360.555,0.4215276340302214,2.9821430216971003,5.0,3.789,0.0,0.7,0.3,False,1.925,14.0
LAUR,Miscellaneous Commercial Services,Commercial Services,1883290.0,16.478531,4.17012,0.0,31.26,20.76,37.91,0.6122448979591838,0.0,0.0,0.0,0.0,1.0,0.3,False,0.295,5.0
LBRDK,Wireless Telecommunications,Communications,2230704.0,-2.1,0.975629,0.0,40.12,36.6,104.0,0.05222551928783376,0.0,5.0,2.0,0.0,0.5,-0.4,False,0.965,0.0
LCID,Motor Vehicles,Consumer Durables,17796582.0,-0.54,2.98482,0.0,6.56,5.62,33.7,0.033475783475783456,0.0,1.541131458513411,0.616,0.0,0.5,-0.4,False,0.342,1.0
LDOS,Packaged Software,Technology Services,1163405.0,13.397675,3.83641,0.01112377,149.265,139.69,205.77,0.14490012106537511,2.7616732007605798,2.3459432125346353,2.595,0.0,1.0,-0.4,False,1.358,8.0
LEA,Auto Parts: OEM,Producer Manufacturing,1066146.0,13.253591,1.35557,0.02326108,132.28,82.88,142.84,0.8238825883922615,1.1317687410151709,1.8442426433160959,1.417,0.0,1.2,0.5,False,1.013,8.0
LEG,Home Furnishings,Consumer Durables,2666221.0,6.40739,1.44369,0.01836547,10.88,7.86,13.0,0.5875486381322959,1.9196583944476613,3.1862796029618545,2.426,0.0,1.0,0.3,False,1.387,0.0
LEGO,Financial Conglomerates,Finance,32967.0,,1.36971,0.0,9.86,9.8,9.95,0.39999999999999525,0.0,1.825203875272868,0.73,0.0,-0.1,0.3,False,0.348,0.0
LEGR,Investment Trusts Or Mutual Funds,Miscellaneous,2854.0,16.199572,2.052025,0.020269,62.87,49.34,63.435,0.9599148634267467,0.0,1.2183087438018543,0.487,0.0,0.6,0.2,False,0.399,0.0
LEU,Other Metals/Minerals,Non-Energy Minerals,483932.0,52.922194,5.31105,0.0,206.55,70.43,464.25,0.3456401401655579,0.0,0.0,0.0,0.0,0.7,0.1,False,0.19,9.0
LFUS,Electronic Production Equipment,Electronic Technology,298167.0,-140.21,4.18251,0.00724673,407.08,188.08,415.0,0.9650978318350079,0.0,1.2193634922570418,0.488,0.0,0.2,0.2,False,0.3,2.0
LGND,Pharmaceuticals: Major,Health Technology,231345.0,37.087648,4.4213,0.0,227.31,98.89,247.38,0.8648393831234427,2.1570523965283535,1.176124669214937,1.765,0.0,0.7,0.5,False,1.044,8.0
